xpoints,ypoints,xaep1,xaep100,yaep1,yaep100
-1708.8,-1708.8,468.5140973785424,460.4340342964277,467.0854027593095,459.4279509004231
-1707.8,-1707.8,468.5097443052127,460.43363905906597,467.0896595721571,459.43319651077655
-1706.8,-1706.8,468.5050649375182,460.43289305629827,467.09366765849694,459.43827492496825
-1705.8,-1705.8,468.5000106566712,460.43188957967624,467.0972982135259,459.4431370580412
-1704.8,-1704.8,468.4943609735483,460.4306270163331,467.10071390145816,459.44787319847904
-1703.8,-1703.8,468.4883222111785,460.4291087408673,467.1038701700556,459.4524297438343
-1702.8,-1702.8,468.48193134240177,460.427259374923,467.1067788286869,459.45671280186264
-1701.8,-1701.8,468.4751769249829,460.4250360938872,467.10952474969105,459.4608178996492
-1700.8,-1700.8,468.46810133998787,460.422542575244,467.1121074920751,459.4647839195231
-1699.8,-1699.8,468.4606953339682,460.41976798889743,467.11447590574227,459.4686411680732
-1698.8,-1698.8,468.4529940228798,460.41671430859714,467.11659321240427,459.4724244018519
-1697.8,-1697.8,468.4450278205943,460.4133666481408,467.1185645221541,459.4761419505936
-1696.8,-1696.8,468.4365565420353,460.4096179029208,467.1203963343087,459.4798056398338
-1695.8,-1695.8,468.42776080173593,460.40553889627574,467.12210949007135,459.48339543855593
-1694.8,-1694.8,468.4186974249337,460.4011439749494,467.1235674788944,459.48691198308677
-1693.8,-1693.8,468.40931275153025,460.39642649571556,467.29746875739255,459.4903867913727
-1692.8,-1692.8,468.3996316020607,460.39135743316353,467.302697734083,459.4938483307717
-1691.8,-1691.8,468.38961681393664,460.38596978491734,467.30846002411243,459.4973214896553
-1690.8,-1690.8,468.37915634426315,460.3801923602149,467.3140250158679,459.5007791562993
-1689.8,-1689.8,468.36840869982257,460.37404379307026,467.32008139221284,459.50422319213175
-1688.8,-1688.8,468.3573531873152,460.3675517355627,467.3260491392661,459.50767651653285
-1687.8,-1687.8,468.3458363043867,460.36067071702996,467.33259823248454,459.51109487579737
-1686.8,-1686.8,468.3339180840331,460.35333824455,467.33913902628655,459.5145387356108
-1685.8,-1685.8,468.3215249106702,460.3454952921692,467.3461536479264,459.5180180510041
-1684.8,-1684.8,468.3083149973879,460.3369119217639,467.3532911654867,459.52154137667327
-1683.8,-1683.8,468.29452483473256,460.3277314359938,467.3609244682316,459.525108009459
-1682.8,-1682.8,468.2805197899382,460.3183200425019,467.3560848637544,459.52870543636044
-1681.8,-1681.8,468.2662282140743,460.3086840772135,467.36015738129134,459.5323515027857
-1680.8,-1680.8,468.2516654071101,460.29881931971966,467.3614931006573,459.53596024692473
-1679.8,-1679.8,468.23689683192515,460.2886613350883,467.3618969163536,459.538975006006
-1678.8,-1678.8,468.2219047541586,460.278210763727,467.3627177055121,459.5416983436616
-1677.8,-1677.8,468.2065216293651,460.26752618401986,467.36386484991544,459.5442370479035
-1676.8,-1676.8,468.1908980820206,460.2565927886295,467.3652760863528,459.5465593066118
-1675.8,-1675.8,468.17502606343174,460.2454287629864,467.3675942642939,459.5487596276785
-1674.8,-1674.8,468.1588779489648,460.23405263877635,467.37092695931733,459.5509156571827
-1673.8,-1673.8,468.1424250135661,460.22246696344723,467.3752724884396,459.5530498281097
-1672.8,-1672.8,468.1257171648932,460.2106717873632,467.37933195265566,459.55518009719856
